index,drug_name
0,DB04868
1,DB01551
2,DB09130
3,DB01097
4,DB01196
5,DB08880
6,DB00326
7,DB01396
8,DB00455
9,DB01131
10,DB08822
11,DB00472
12,DB04861
13,DB12161
14,DB09074
15,DB03128
16,DB01074
17,DB06800
18,DB00958
19,DB00996
20,DB06589
21,DB09099
22,DB00206
23,DB00459
24,DB09238
25,DB05676
26,DB00211
27,DB00640
28,DB00649
29,DB00735
30,DB01005
31,DB00989
32,DB00584
33,DB01256
34,DB11156
35,DB00981
36,DB04571
37,DB09220
38,DB01348
39,DB01002
40,DB01204
41,DB13158
42,DB00921
43,DB00350
44,DB08965
45,DB13783
46,DB00565
47,DB00241
48,DB09296
49,DB00316
50,DB09555
51,DB11363
52,DB00255
53,DB01105
54,DB00717
55,DB09216
56,DB01333
57,DB00213
58,DB00503
59,DB00969
60,DB00980
61,DB08964
62,DB00380
63,DB00203
64,DB01120
65,DB00889
66,DB00555
67,DB01384
68,DB01559
69,DB01241
70,DB11126
71,DB08981
72,DB09242
73,DB09256
74,DB01017
75,DB00808
76,DB08931
77,DB00737
78,DB01413
79,DB00546
80,DB00943
81,DB00165
82,DB01351
83,DB00907
84,DB05260
85,DB06795
86,DB00220
87,DB00740
88,DB00670
89,DB00639
90,DB00288
91,DB09204
92,DB01297
93,DB01061
94,DB00428
95,DB01259
96,DB00791
97,DB00334
98,DB00474
99,DB01111
100,DB00420
101,DB09020
102,DB11235
103,DB00682
104,DB04896
105,DB00946
106,DB09070
107,DB09040
108,DB08933
109,DB11989
110,DB00826
111,DB06820
112,DB09198
113,DB08439
114,DB00919
115,DB00932
116,DB01086
117,DB00202
118,DB09281
119,DB09218
120,DB00643
121,DB00939
122,DB00497
123,DB09462
124,DB00244
125,DB00317
126,DB08802
127,DB00310
128,DB09097
129,DB01380
130,DB06637
131,DB00214
132,DB01236
133,DB00346
134,DB09087
135,DB00233
136,DB00524
137,DB00352
138,DB00709
139,DB06207
140,DB00614
141,DB00424
142,DB00393
143,DB00615
144,DB01178
145,DB09014
146,DB01357
147,DB02300
148,DB01253
