Drug,Index
10992961,0
94214,1
119138,2
9829523,3
126565,4
44259,5
9809715,6
24889392,7
216239,8
3038522,9
52945601,10
5329102,11
9813758,12
16038120,13
5328940,14
9869779,15
11617559,16
11667893,17
5494449,18
156422,19
10184653,20
24905147,21
11656518,22
10113978,23
6918852,24
10127622,25
9884685,26
24180719,27
11314340,28
9933475,29
123631,30
91448975,31
156414,32
17755052,33
9886808,34
16187854,35
25126798,36
176167,37
153999,38
15983966,39
11712649,40
3025986,41
10461815,42
11409972,43
9915743,44
447077,45
3062316,46
10427712,47
16722836,48
176870,49
11234052,50
11427553,51
16725726,52
176155,53
3038525,54
11213558,55
25182616,56
9929127,57
5291,58
151194,59
3081361,60
11485656,61
208908,62
5287969,63
11676971,64
11364421,65
10138259,66
11338033,67
57399640,68
6450551,69
16007391,70
9926791,71
10074640,72
11626560,73
6918454,74
644241,75
101043861,76
132271619,77
132271620,78
121426320,79
121426321,80
121426376,81
121426388,82
121426215,83
121426350,84
136215711,85
136215714,86
121426247,87
121426239,88
121426223,89
121426227,90
132271625,91
121426234,92
132271628,93
121426387,94
8515,95
5330790,96
160355,97
5353940,98
4521392,99
9874913,100
6445562,101
11560568,102
58017084,103
25104303,104
56846693,105
16220188,106
11406590,107
77846025,108
91808039,109
71600087,110
73776055,111
73774785,112
71584198,113
73776203,114
71299337,115
1986,116
127047625,117
127047846,118
127045752,119
91809487,120
73776641,121
59053127,122
56932123,123
59053001,124
52941064,125
50904886,126
71768355,127
4269754,128
43363658,129
7370,130
72202597,131
46907787,132
46943432,133
122181555,134
122363056,135
122363061,136
122362584,137
44345631,138
53318989,139
49867076,140
91663440,141
44355725,142
44356152,143
44355770,144
44355912,145
53328059,146
71768357,147
127047878,148
5327044,149
90643916,150
4946,151
5757,152
37783,153
25138012,154
2685,155
2119,156
54756928,157
54756927,158
91898352,159
91898353,160
5311377,161
71547929,162
9863342,163
444795,164
82146,165
449171,166
1893667,167
10447834,168
10403687,169
10042467,170
54072659,171
44368759,172
774,173
3086599,174
5311,175
