Drug_Index,Protein_Index
0,0
1,0
2,0
0,0
2,0
1,0
0,1
1,1
2,1
1,1
0,1
2,1
3,2
4,2
5,2
6,2
4,2
3,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
9,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
8,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
7,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
11,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,3
77,4
78,4
79,4
80,4
81,4
82,4
83,4
83,4
83,4
83,4
84,4
85,4
85,4
86,4
86,4
87,4
88,4
89,4
89,4
90,4
91,4
91,4
92,4
92,4
92,4
93,4
93,4
94,4
94,4
4,4
3,4
5,4
3,4
4,4
6,4
91,4
77,4
80,4
78,4
79,4
88,4
91,4
82,4
87,4
84,4
81,4
90,4
7,4
9,4
8,4
10,4
11,4
72,4
51,4
28,4
73,4
55,4
60,4
19,4
56,4
37,4
52,4
58,4
74,4
61,4
45,4
16,4
35,4
66,4
36,4
26,4
49,4
70,4
21,4
8,4
42,4
46,4
50,4
57,4
25,4
54,4
38,4
41,4
12,4
39,4
13,4
20,4
27,4
62,4
67,4
7,4
65,4
15,4
47,4
9,4
31,4
17,4
69,4
40,4
63,4
32,4
68,4
29,4
34,4
75,4
18,4
11,4
43,4
48,4
24,4
23,4
59,4
64,4
33,4
71,4
53,4
14,4
22,4
30,4
44,4
33,4
77,5
78,5
79,5
80,5
81,5
82,5
83,5
83,5
83,5
83,5
84,5
85,5
85,5
86,5
86,5
87,5
88,5
89,5
89,5
90,5
91,5
91,5
92,5
92,5
92,5
93,5
93,5
94,5
94,5
95,6
5,6
3,6
4,6
5,6
6,6
4,6
3,6
5,6
3,6
7,6
11,6
10,6
9,6
8,6
55,6
48,6
17,6
26,6
75,6
66,6
49,6
45,6
58,6
73,6
71,6
72,6
70,6
65,6
36,6
37,6
7,6
35,6
9,6
20,6
34,6
54,6
46,6
8,6
62,6
57,6
22,6
64,6
42,6
44,6
69,6
31,6
63,6
51,6
30,6
14,6
74,6
25,6
68,6
39,6
38,6
33,6
53,6
67,6
50,6
52,6
13,6
16,6
40,6
41,6
61,6
15,6
32,6
29,6
56,6
28,6
60,6
12,6
43,6
47,6
59,6
24,6
27,6
23,6
19,6
21,6
11,6
18,6
58,6
96,6
62,6
38,6
9,6
40,6
26,6
59,6
97,6
98,6
53,6
99,6
8,6
66,6
11,6
18,6
54,6
60,6
61,6
17,6
43,6
70,6
19,6
41,6
34,6
22,6
32,6
71,6
100,6
46,6
101,6
49,6
63,6
30,6
16,6
23,6
102,6
63,6
4,7
3,7
3,7
4,7
6,7
5,7
3,7
5,7
7,7
10,7
9,7
11,7
8,7
55,7
58,7
17,7
75,7
26,7
66,7
49,7
45,7
51,7
73,7
71,7
72,7
70,7
65,7
37,7
47,7
7,7
40,7
35,7
48,7
50,7
9,7
62,7
34,7
54,7
46,7
8,7
57,7
22,7
64,7
69,7
42,7
44,7
31,7
39,7
13,7
36,7
61,7
30,7
38,7
33,7
14,7
25,7
68,7
53,7
67,7
52,7
16,7
32,7
41,7
15,7
21,7
29,7
74,7
56,7
28,7
60,7
12,7
43,7
63,7
59,7
24,7
27,7
23,7
19,7
20,7
11,7
18,7
60,7
61,7
17,7
43,7
70,7
19,7
41,7
34,7
22,7
32,7
71,7
100,7
46,7
101,7
49,7
63,7
30,7
16,7
23,7
58,7
96,7
62,7
38,7
9,7
40,7
26,7
59,7
97,7
98,7
53,7
99,7
8,7
66,7
11,7
18,7
54,7
77,8
78,8
79,8
80,8
81,8
82,8
83,8
83,8
83,8
83,8
84,8
85,8
85,8
86,8
86,8
87,8
88,8
89,8
89,8
90,8
91,8
91,8
92,8
92,8
92,8
93,8
93,8
94,8
94,8
3,8
4,8
6,8
4,8
5,8
3,8
7,8
9,8
8,8
10,8
11,8
69,8
12,8
16,8
15,8
49,8
32,8
59,8
45,8
19,8
13,8
